區域別,出生數計,出生數男,出生數女,生母年齡未滿15歲,生母年齡15至19歲,生母年齡20至24歲,生母年齡25至29歲,生母年齡30至34歲,生母年齡35至39歲,生母年齡40至44歲,生母年齡45至49歲,生母年齡50歲以上
臺南市,9241,4814,4427,0,84,656,2098,3306,2415,644,37,1
新營區,305,160,145,0,2,23,67,118,76,17,2,0
鹽水區,94,46,48,0,2,8,32,28,20,4,0,0
白河區,94,50,44,0,1,12,21,29,26,4,1,0
柳營區,99,49,50,0,3,15,33,31,11,4,2,0
後壁區,78,43,35,0,1,13,18,29,14,2,1,0
東山區,73,38,35,0,2,15,26,17,12,1,0,0
麻豆區,201,110,91,0,0,14,57,68,50,12,0,0
下營區,115,62,53,0,2,14,36,26,30,7,0,0
六甲區,84,44,40,0,1,10,26,30,14,3,0,0
官田區,100,52,48,0,1,8,18,38,26,9,0,0
大內區,38,15,23,0,4,4,12,11,4,3,0,0
佳里區,268,140,128,0,5,26,60,101,57,16,3,0
學甲區,115,67,48,0,2,11,30,38,31,3,0,0
西港區,155,84,71,0,3,11,33,58,36,14,0,0
七股區,98,51,47,0,2,11,31,34,12,8,0,0
將軍區,58,34,24,0,1,10,19,13,11,4,0,0
北門區,36,19,17,0,0,4,10,13,6,3,0,0
新化區,222,112,110,0,0,27,66,66,53,10,0,0
善化區,384,195,189,0,3,17,67,146,118,31,2,0
新市區,219,115,104,0,1,19,38,84,64,13,0,0
安定區,168,81,87,0,2,18,44,47,44,12,1,0
山上區,42,24,18,0,2,4,12,12,9,3,0,0
玉井區,53,26,27,0,2,9,12,15,11,3,1,0
楠西區,32,18,14,0,0,7,6,8,10,1,0,0
南化區,38,15,23,0,0,7,8,11,7,5,0,0
左鎮區,10,7,3,0,2,1,4,2,1,0,0,0
仁德區,407,206,201,0,4,30,97,148,112,15,1,0
歸仁區,395,211,184,0,5,26,106,148,89,20,1,0
關廟區,149,76,73,0,1,14,30,57,34,12,1,0
龍崎區,6,2,4,0,0,3,2,1,0,0,0,0
永康區,1354,730,624,0,13,79,291,515,355,99,2,0
東區,707,370,337,0,1,27,141,242,217,74,5,0
南區,567,292,275,0,1,28,123,217,152,42,3,1
北區,560,305,255,0,3,32,119,199,165,40,2,0
安南區,1255,625,630,0,9,76,278,481,320,86,5,0
安平區,364,189,175,0,3,16,66,130,118,29,2,0
中西區,298,151,147,0,0,7,59,95,100,35,2,0
